               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,           0.0091084,           0.0060586,           0.0024002,             0.99723,                   1,               0.995,             0.94686,           0.0022232,           0.0013184,          6.7735e-05,            0.008944,            0.008944,            0.008944
                  66,           0.0092292,           0.0059431,           0.0020925,             0.99576,                   1,               0.995,             0.95485,           0.0023237,           0.0012992,          7.8669e-05,           0.0089275,           0.0089275,           0.0089275
                  67,           0.0097468,           0.0059483,            0.002216,             0.99815,                   1,               0.995,             0.96456,           0.0021125,           0.0012459,          0.00010425,            0.008911,            0.008911,            0.008911
                  68,            0.009527,           0.0058988,           0.0027049,              0.9965,                   1,               0.995,             0.96508,             0.00219,           0.0012542,          9.0439e-05,           0.0088945,           0.0088945,           0.0088945
                  69,           0.0095489,           0.0059057,           0.0021627,             0.99814,                   1,               0.995,             0.97362,           0.0021526,           0.0012359,          0.00011354,            0.008878,            0.008878,            0.008878
                  70,           0.0093236,           0.0058334,           0.0027781,             0.99772,                   1,               0.995,             0.95153,           0.0022534,           0.0013113,          0.00012362,           0.0088615,           0.0088615,           0.0088615
                  71,            0.009214,           0.0056634,           0.0024479,             0.99752,                   1,               0.995,             0.95916,           0.0020758,           0.0012676,           0.0001039,            0.008845,            0.008845,            0.008845
                  72,           0.0092159,           0.0057277,           0.0019061,             0.98865,             0.99431,             0.99464,             0.97037,           0.0020012,           0.0012761,          0.00048014,           0.0088285,           0.0088285,           0.0088285
                  73,           0.0090506,           0.0056783,           0.0014739,             0.99729,                   1,               0.995,             0.95723,           0.0021042,           0.0012765,          6.6941e-05,            0.008812,            0.008812,            0.008812
                  74,           0.0092429,           0.0058604,           0.0021796,              0.9964,                   1,               0.995,             0.94976,           0.0022042,           0.0013639,          9.0084e-05,           0.0087955,           0.0087955,           0.0087955
                  75,           0.0098317,           0.0059732,           0.0025053,             0.99702,                   1,               0.995,             0.95452,           0.0021245,            0.001286,          8.4609e-05,            0.008779,            0.008779,            0.008779
                  76,             0.00931,           0.0059706,           0.0027132,             0.99696,                   1,               0.995,             0.94871,           0.0022274,           0.0012963,          8.7237e-05,           0.0087625,           0.0087625,           0.0087625
                  77,           0.0096681,           0.0057886,           0.0026827,             0.99805,                   1,               0.995,             0.97359,           0.0019533,            0.001194,          0.00010767,            0.008746,            0.008746,            0.008746
                  78,           0.0089216,           0.0058103,           0.0022945,             0.99632,                   1,               0.995,             0.96217,           0.0021438,           0.0012686,          0.00012442,           0.0087295,           0.0087295,           0.0087295
                  79,           0.0086294,           0.0057724,           0.0019109,             0.99539,                   1,               0.995,             0.96256,            0.001968,           0.0012162,            0.000101,            0.008713,            0.008713,            0.008713
                  80,           0.0089052,           0.0057013,           0.0018136,             0.99662,                   1,               0.995,             0.96959,           0.0019504,           0.0012569,          0.00011126,           0.0086965,           0.0086965,           0.0086965
                  81,            0.010034,           0.0058719,            0.003091,             0.99742,                   1,               0.995,             0.95558,           0.0021145,           0.0012328,          8.7215e-05,             0.00868,             0.00868,             0.00868
                  82,           0.0090993,           0.0058539,            0.002774,              0.9976,                   1,               0.995,             0.96025,            0.002037,           0.0012172,          0.00010716,           0.0086635,           0.0086635,           0.0086635
                  83,           0.0094582,           0.0057726,           0.0024813,             0.99628,                   1,               0.995,              0.9639,           0.0020444,           0.0012664,          7.8257e-05,            0.008647,            0.008647,            0.008647
                  84,           0.0087922,           0.0057654,           0.0020197,             0.99666,                   1,               0.995,             0.94592,           0.0022495,           0.0013159,          0.00012686,           0.0086305,           0.0086305,           0.0086305
                  85,           0.0088048,           0.0058723,           0.0019241,             0.99802,                   1,               0.995,              0.9705,           0.0018915,           0.0012541,          9.1593e-05,            0.008614,            0.008614,            0.008614
                  86,           0.0091393,            0.005709,           0.0021908,             0.99789,                   1,               0.995,             0.96403,             0.00207,           0.0012125,           0.0001238,           0.0085975,           0.0085975,           0.0085975
                  87,           0.0091817,           0.0056583,           0.0020191,             0.99822,             0.99974,               0.995,             0.97315,           0.0017357,           0.0011978,          9.6302e-05,            0.008581,            0.008581,            0.008581
                  88,           0.0099185,           0.0059501,           0.0029394,             0.99615,                   1,               0.995,             0.96761,           0.0019999,           0.0012837,             8.1e-05,           0.0085645,           0.0085645,           0.0085645
                  89,           0.0094478,           0.0059037,           0.0026048,             0.99701,                   1,               0.995,             0.96896,            0.001838,           0.0012543,          8.4563e-05,            0.008548,            0.008548,            0.008548
                  90,           0.0087214,           0.0058001,             0.00207,              0.9976,                   1,               0.995,             0.96615,           0.0018696,           0.0011873,          0.00012751,           0.0085315,           0.0085315,           0.0085315
                  91,           0.0096145,           0.0057117,           0.0023601,             0.99792,             0.99948,               0.995,             0.97317,           0.0019815,           0.0012769,            8.76e-05,            0.008515,            0.008515,            0.008515
                  92,           0.0089287,           0.0056142,           0.0019248,             0.99645,                   1,               0.995,             0.96743,           0.0019627,           0.0011965,           0.0001038,           0.0084985,           0.0084985,           0.0084985
                  93,            0.008634,           0.0056668,           0.0018553,             0.99806,                   1,               0.995,             0.97408,           0.0019415,            0.001187,          9.5508e-05,            0.008482,            0.008482,            0.008482
                  94,           0.0084703,           0.0054423,           0.0016192,              0.9969,                   1,               0.995,             0.96357,           0.0019157,           0.0012237,          0.00012745,           0.0084655,           0.0084655,           0.0084655
                  95,           0.0090063,           0.0056185,           0.0019122,             0.99719,                   1,               0.995,             0.96866,           0.0019619,           0.0012454,          0.00010516,            0.008449,            0.008449,            0.008449
                  96,            0.009158,           0.0057021,           0.0023586,             0.99656,                   1,               0.995,             0.95657,           0.0020783,           0.0012676,          0.00011747,           0.0084325,           0.0084325,           0.0084325
                  97,           0.0091317,           0.0056661,           0.0026963,             0.99726,                   1,               0.995,             0.95795,           0.0020292,           0.0012182,          0.00010908,            0.008416,            0.008416,            0.008416
                  98,           0.0087309,            0.005782,           0.0019379,             0.99746,                   1,               0.995,             0.96577,            0.001872,           0.0012629,          9.4005e-05,           0.0083995,           0.0083995,           0.0083995
                  99,           0.0091439,           0.0056733,            0.002258,              0.9978,             0.99716,               0.995,             0.96883,           0.0017899,           0.0011593,          0.00016296,            0.008383,            0.008383,            0.008383
                 100,            0.009489,           0.0056075,           0.0022687,             0.99746,                   1,               0.995,             0.96595,           0.0021007,           0.0012205,          0.00010457,           0.0083665,           0.0083665,           0.0083665
