               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.010474,           0.0065292,            0.003008,             0.99753,                   1,               0.995,              0.9507,           0.0022985,            0.001356,          0.00010944,            0.008284,            0.008284,            0.008284
                 106,            0.011326,           0.0065092,           0.0025003,             0.99745,                   1,               0.995,             0.94445,           0.0022613,           0.0014093,          0.00017189,           0.0082675,           0.0082675,           0.0082675
                 107,            0.010763,           0.0065883,           0.0026629,             0.99655,                   1,               0.995,             0.94476,            0.002219,           0.0013664,          0.00015939,            0.008251,            0.008251,            0.008251
                 108,             0.01028,           0.0065654,           0.0028367,              0.9965,                   1,               0.995,             0.93283,           0.0025561,           0.0014705,          0.00012057,           0.0082345,           0.0082345,           0.0082345
                 109,             0.01094,           0.0065646,           0.0034025,             0.99535,                   1,               0.995,             0.94624,           0.0024104,           0.0014475,          0.00010216,            0.008218,            0.008218,            0.008218
                 110,            0.010732,            0.006649,           0.0030216,             0.99459,                   1,               0.995,             0.94885,           0.0023022,           0.0013323,           0.0001012,           0.0082015,           0.0082015,           0.0082015
                 111,            0.010339,           0.0066835,           0.0024923,             0.99718,                   1,               0.995,             0.94723,           0.0023172,            0.001405,          0.00013346,            0.008185,            0.008185,            0.008185
                 112,             0.01025,           0.0062478,           0.0025358,             0.99562,                   1,               0.995,             0.95017,           0.0021657,           0.0012982,           0.0001474,           0.0081685,           0.0081685,           0.0081685
                 113,            0.010663,           0.0064063,           0.0032345,             0.99654,                   1,               0.995,             0.93784,           0.0025341,            0.001376,          0.00011896,            0.008152,            0.008152,            0.008152
                 114,            0.010079,            0.006497,           0.0028411,             0.99602,                   1,               0.995,             0.94335,           0.0022593,           0.0013406,          0.00011293,           0.0081355,           0.0081355,           0.0081355
                 115,            0.010742,           0.0064609,           0.0025583,             0.99548,                   1,               0.995,             0.93851,           0.0022028,           0.0014506,          0.00011526,            0.008119,            0.008119,            0.008119
                 116,            0.011432,            0.006418,           0.0030576,              0.9955,                   1,               0.995,             0.95193,           0.0021826,           0.0013653,          0.00014062,           0.0081025,           0.0081025,           0.0081025
                 117,             0.01082,           0.0065741,            0.002832,             0.99609,                   1,               0.995,             0.95053,           0.0023495,           0.0014637,          0.00011572,            0.008086,            0.008086,            0.008086
